title,type,genres,releaseYear,imdbAverageRating,imdbNumVotes,availableCountries
Bridget Jones's Diary,movie,"Comedy, Drama, Romance",2001.0,6.8,270119.0,"AD, AG, AR, AT, BB, BM, BO, BR, BS, CA, CI, CL, CO, CR, DE, DO, EC, ES, FR, GB, GF, GG, GH, GT, HN, IE, IN, JM, JP, KE, LC, MC, MX, MZ, NE, NG, PA, PE, PF, PT, PY, SV, TC, TT, UG, UY, VE, ZA, ZM"
Catch Me If You Can,movie,"Biography, Crime, Drama",2002.0,8.1,1135265.0,"AD, CU, ES, FR, GB, GF, GG, IN, JP, MC, PF, SN, US"
Troy,movie,"Adventure, Drama",2004.0,7.3,584095.0,"AD, ES, JP, PT"
Twister,movie,"Action, Adventure, Thriller",1996.0,6.5,239824.0,"AG, AR, AT, AU, BB, BM, BO, BS, CI, CL, CO, CR, DE, DO, EC, ES, GB, GF, GG, GH, GT, HN, IE, JM, JP, KE, LC, MX, MZ, NE, NG, PA, PE, PY, SV, TC, TT, UG, UY, VE, ZA, ZM"
Dead Man Walking,movie,"Crime, Drama",1995.0,7.5,103400.0,"AD, BZ, ES, FR, HK, ID, MC, MY, NI, PF, PH, SG, TH, TW"
Gattaca,movie,"Drama, Sci-Fi, Thriller",1997.0,7.7,330888.0,"AD, ES, GB, GG, GI, IE, NL"
Persona,movie,"Drama, Thriller",1966.0,8.0,133942.0,"AT, DE, ES"
Shrek,movie,"Adventure, Animation, Comedy",2001.0,7.9,756743.0,"AD, AE, AG, AL, AO, AR, AU, BA, BB, BE, BF, BG, BH, BM, BO, BR, BS, BZ, CA, CD, CH, CI, CL, CM, CO, CR, CZ, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GF, GG, GH, GR, GT, GY, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, KE, KR, KW, LB, LC, LT, LV, LY, MA, MC, MD, MG, MK, ML, MT, MW, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PG, PH, PL, PS, PT, PY, QA, RO, RS, SA, SE, SG, SI, SK, SN, SV, TC, TD, TH, TN, TR, TT, TW, TZ, UG, UY, VE, YE, ZA, ZM, ZW"
Shrek 2,movie,"Adventure, Animation, Comedy",2004.0,7.4,519440.0,"AD, AE, AG, AL, AO, AR, AU, BA, BB, BE, BF, BG, BH, BM, BO, BR, BS, BZ, CA, CD, CH, CI, CL, CM, CO, CR, CZ, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GF, GG, GH, GT, GY, HK, HN, HR, HU, ID, IE, IL, IQ, IS, IT, JM, JO, KE, KR, KW, LB, LC, LT, LV, LY, MA, MC, MD, MG, MK, ML, MT, MW, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PG, PH, PL, PS, PT, PY, QA, RO, RS, SA, SE, SG, SI, SK, SV, TC, TD, TH, TN, TR, TT, TW, TZ, UG, UY, VE, YE, ZA, ZM, ZW"
Austin Powers: International Man of Mystery,movie,"Adventure, Comedy",1997.0,7.0,262640.0,"ES, GB, GG, IT, SM, VA"
M,movie,"Crime, Mystery, Thriller",1931.0,8.3,173935.0,"AT, DE, ES, FR, IT, JP"
Umberto D.,movie,Drama,1952.0,8.2,29009.0,"ES, JP"
Brief Encounter,movie,"Drama, Romance",1945.0,8.0,45545.0,"ES, JP, US"
Enemy at the Gates,movie,"Action, Drama, War",2001.0,7.5,282297.0,"ES, IT, JP, SM, VA"
The Mask,movie,"Comedy, Crime, Fantasy",1994.0,7.0,435977.0,"AD, ES, GB, GG, GI, IE, JP"
Saving Private Ryan,movie,"Drama, War",1998.0,8.6,1539310.0,"AD, AT, CU, CV, DE, ES, JP, SN"
Total Recall,movie,"Action, Adventure, Sci-Fi",1990.0,7.5,362426.0,"AD, ES, GB, GG, GI, IE, JP, PT, US"
Dolls,movie,"Drama, Romance",2002.0,7.5,17543.0,ES
Dead Man,movie,"Adventure, Comedy, Drama",1995.0,7.5,104861.0,"AT, DE, ES, IT, SM, VA"
Godzilla,movie,"Action, Sci-Fi, Thriller",1998.0,5.4,206977.0,"AD, ES, GB, GG, GI, IE, IT, JP, PT, SM, VA"
Rififi,movie,"Crime, Drama, Thriller",1955.0,8.1,37516.0,"AT, DE, ES, SM, VA"
The Lady Vanishes,movie,"Mystery, Thriller",1938.0,7.7,58457.0,"AR, BO, BZ, CL, CO, CR, DK, DO, EC, ES, FI, GT, HN, IT, JP, NI, NO, PA, PE, PG, PY, SE, SM, SV, US, UY, VA, VE, ZA"
Madagascar,movie,"Adventure, Animation, Comedy",2005.0,6.9,449710.0,"AD, AE, AG, AL, AO, AR, AT, AU, BA, BB, BE, BF, BG, BH, BM, BO, BR, BS, BZ, CA, CD, CH, CI, CL, CM, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GF, GH, GT, GY, HK, HN, HR, HU, ID, IL, IN, IQ, IS, IT, JM, JO, KE, KR, KW, LB, LC, LT, LV, LY, MA, MC, MD, MG, MK, ML, MW, MX, MY, MZ, NE, NG, NI, NO, NZ, OM, PA, PE, PF, PG, PH, PL, PS, PT, PY, QA, RO, RS, SA, SE, SG, SI, SK, SN, SV, TC, TD, TH, TN, TR, TT, TW, TZ, UG, UY, VE, YE, ZA, ZM, ZW"
Mission: Impossible,movie,"Action, Adventure, Thriller",1996.0,7.2,480826.0,"AD, CU, ES, IN, JP, PT, SN"
Mission: Impossible II,movie,"Action, Adventure, Thriller",2000.0,6.1,385617.0,"CU, ES, IN, JP, PT, SN"
Mission: Impossible III,movie,"Action, Adventure, Thriller",2006.0,6.9,398252.0,"AD, CU, ES, IN, JP, PT, SN"
The General,movie,"Action, Adventure, Comedy",1926.0,8.1,100743.0,"AT, AU, BM, BZ, CA, CM, DE, ES, GB, GG, GH, GI, GY, IE, KE, LC, MW, NG, NZ, PG, PT, TC, UG, US"
The Magnificent Ambersons,movie,"Drama, Romance",1942.0,7.6,27411.0,"AD, CA, ES, IT, JP, SM, VA"
Sweet Smell of Success,movie,"Drama, Film-Noir",1957.0,8.0,36937.0,"AU, CA, ES, GB, GG, US"
Sleuth,movie,"Mystery, Thriller",1972.0,7.9,50923.0,ES
Mulholland Drive,movie,"Drama, Mystery, Thriller",2001.0,7.9,393481.0,"AD, AT, DE, ES, JP, PT"
Whale Rider,movie,"Drama, Family",2002.0,7.5,44479.0,"ES, GB, GG"
The Third Man,movie,"Film-Noir, Mystery, Thriller",1949.0,8.1,186822.0,"ES, JP, US"
Elevator to the Gallows,movie,"Crime, Drama, Thriller",1958.0,7.9,29641.0,"AT, DE, ES"
Princesses,movie,Drama,2005.0,6.9,5727.0,"AD, ES"
The Queen,movie,"Biography, Drama",2006.0,7.3,116996.0,"AD, ES, IT, SM, VA"
The Talented Mr. Ripley,movie,"Crime, Drama, Thriller",1999.0,7.4,256918.0,"AD, ES, PT"
Ghost Rider,movie,"Action, Fantasy, Thriller",2007.0,5.3,257594.0,"AD, AG, AR, BB, BM, BO, BR, BS, CL, CO, CR, DO, EC, ES, GT, HN, JM, LC, MX, NZ, PA, PE, PY, SV, TC, TT, UY, VE"
The Host,movie,"Drama, Horror, Sci-Fi",2006.0,7.1,135835.0,"ES, JP"
Dead in 3 Days,movie,"Horror, Thriller",2006.0,5.5,2674.0,ES
Bridge to Terabithia,movie,"Drama, Family, Fantasy",2007.0,7.2,178687.0,"ES, NZ"
Sex and Lucía,movie,"Drama, Romance",2001.0,7.0,39355.0,"AD, ES"
Sweet Sixteen,movie,"Crime, Drama",2002.0,7.4,16037.0,"CA, ES, US"
Gleaming the Cube,movie,"Action, Drama, Mystery",1989.0,6.3,9305.0,"ES, GB, GG, US"
