title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Justice League",movie,"Action, Adventure, Fantasy",2017,tt0974015,6,486185,"AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, FI, FR, GT, GY, HK, HN, HR, HU, ID, JM, LC, MC, MD, ME, MK, MX, MY, NI, NO, PA, PE, PH, PY, RO, RS, SE, SG, SI, SK, SV, TC, TH, TT, TW, US, UY, VE"
"Batman: The Dark Knight Returns, Part 2",movie,"Action, Animation, Crime",2013,tt2166834,8.3,58249,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HK, HN, ID, JM, LC, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, UY, VE"
"Houston, We Have a Problem!",movie,Comedy,2016,tt5518022,7.8,3726,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
Sabotage,movie,"Action, Crime, Drama",2014,tt1742334,5.7,67070,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Admission,movie,"Comedy, Drama, Romance",2013,tt1814621,5.7,36520,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The 100 Year-Old Man Who Climbed Out the Window and Disappeared",movie,"Adventure, Comedy",2013,tt2113681,7,43155,"CZ, SK"
"Triple 9",movie,"Crime, Drama, Thriller",2016,tt1712261,6.3,78689,"FR, MC, US"
"RED 2",movie,"Action, Comedy, Crime",2013,tt1821694,6.6,183620,"HK, ID, MY, PH, SG, TH, TW"
Getaway,movie,"Action, Thriller",2013,tt2167202,4.4,25479,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HK, HN, ID, JM, LC, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, UY, VE"
Prisoners,movie,"Crime, Drama, Mystery",2013,tt1392214,8.2,844722,US
"Flight of the Conchords",movie,Comedy,2005,tt0666198,8.6,310,"DK, FI, NO, PT, SE"
"Crulic - The Path to Beyond",movie,"Animation, Biography, Documentary",2011,tt1996223,7.6,830,"MD, RO"
"The Devil's Child",movie,"Drama, Horror, Thriller",1997,tt0123036,4,510,"AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, NL, PA, PE, PL, PY, RO, RS, SI, SK, SV, TC, TT, UY, VE"
"The Wind Rises",movie,"Animation, Biography, Drama",2013,tt2013293,7.8,103259,US
"The Tale of The Princess Kaguya",movie,"Animation, Drama, Family",2013,tt2576852,8,56618,US
"I Give It a Year",movie,"Comedy, Romance",2013,tt2244901,5.7,39877,"DK, FI, NO, SE"
"Paradise: Hope",movie,Drama,2013,tt2371834,6.7,5192,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"Scooby-Doo! Mask of the Blue Falcon",movie,"Action, Adventure, Animation",2012,tt2586070,6.6,2293,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HK, HN, ID, JM, LC, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, UY, VE"
Ambushed,movie,"Action, Drama, Thriller",1998,tt0138289,5.9,777,"AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, PA, PE, PL, PY, RO, RS, SI, SK, SV, TC, TT, UY, VE"
"Boldog új élet",movie,Drama,2007,tt0944188,6.6,78,HU
"Chance of a Lifetime",movie,"Comedy, Drama, Romance",1998,tt0132032,5.8,273,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
