title,type,genres,releaseYear,imdbAverageRating,imdbNumVotes,availableCountries
Mr. Bean's Holiday,movie,"Comedy, Family",2007.0,6.4,136541.0,"AD, AL, AT, AZ, BA, BE, BG, BY, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GF, GR, HR, HU, IS, IT, LT, LU, LV, MC, MD, ME, MK, NL, NO, PF, PL, PT, RO, RS, SE, SI, SK, TR, TZ"
300,movie,"Action, Drama",2006.0,7.6,879906.0,"AD, BA, BE, BG, CH, CY, CZ, ES, FR, GF, HR, HU, IN, KR, LU, MC, MD, ME, MK, PF, PL, PT, RO, RS, SI, SK, TR, US"
"Torrente, the Dumb Arm of the Law",movie,"Comedy, Crime",1998.0,6.8,13923.0,ES
Torrente 2: Mission in Marbella,movie,"Action, Comedy, Crime",2001.0,6.4,8137.0,ES
Torrente 3: El protector,movie,"Comedy, Crime",2005.0,5.6,6421.0,ES
American Psycho,movie,"Crime, Drama, Horror",2000.0,7.6,754810.0,"AL, AT, AU, AZ, BG, BY, CA, CZ, DE, EE, ES, FJ, GB, GG, GI, GR, HR, HU, IE, IT, LI, LT, LU, LV, MC, MD, ME, MK, MT, NZ, PL, PT, RO, RS, SI, SK, SM, UA, US"
Sex and Lucía,movie,"Drama, Romance",2001.0,7.0,39355.0,ES
Blood Diamond,movie,"Adventure, Drama, Thriller",2006.0,8.0,598739.0,"AD, AT, CH, CY, DE, ES, GB, GG, IE, JP, KR, LI, LU, PT, TR"
The Pursuit of Happyness,movie,"Biography, Drama",2006.0,8.0,578788.0,"AD, AG, AO, AR, BB, BE, BM, BO, BR, BS, BZ, CI, CL, CM, CO, CR, CU, CV, DO, EC, ES, FJ, GF, GH, GQ, GT, HK, HN, ID, IL, JM, JP, KE, KR, LC, LU, MG, ML, MX, MY, MZ, NE, NG, NI, NL, PA, PE, PH, PL, PT, PY, SC, SG, SN, SV, TC, TD, TH, TT, TW, TZ, UG, UY, VE, ZA, ZM, ZW"
Take My Eyes,movie,"Drama, Romance",2003.0,7.4,7619.0,ES
The Departed,movie,"Crime, Drama, Thriller",2006.0,8.5,1459182.0,"AD, AU, ES, JP, NZ, PT"
Little Children,movie,"Drama, Romance",2006.0,7.5,118498.0,"AD, ES, PT"
The Virgin Suicides,movie,"Drama, Romance",1999.0,7.2,174921.0,"AD, AE, AL, AZ, BA, BG, BH, BY, CH, CY, CZ, DK, EE, EG, ES, FI, FR, GF, GR, HK, HR, HU, IL, IQ, IS, IT, JO, KR, KW, LB, LT, LV, LY, MA, MC, MD, ME, MK, NO, OM, PF, PL, PS, PT, QA, RO, RS, SA, SE, SI, SK, TN, TR, TW, YE"
Hellboy,movie,"Action, Adventure, Fantasy",2004.0,6.9,357384.0,"AD, AG, AR, BB, BE, BM, BO, BR, BS, BZ, CL, CO, CR, CU, DK, DO, DZ, EC, ES, FI, FJ, FR, GF, GT, HK, HN, ID, IS, JM, JP, KR, LC, LU, MA, MC, MU, MX, MY, NI, NO, PA, PE, PF, PH, PY, SE, SG, SV, TC, TH, TN, TR, TT, TW, UY, VE"
