title,type,genres,releaseYear,imdbAverageRating,imdbNumVotes,availableCountries
American Splendor,movie,"Biography, Comedy, Drama",2003.0,7.4,53120.0,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, NL, NO, PA, PE, PL, PY, RO, RS, SE, SI, SK, SV, TC, TT, US, UY, VE"
Corpse Bride,movie,"Animation, Comedy, Drama",2005.0,7.4,309010.0,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, PA, PE, PH, PT, PY, SG, SV, TC, TH, TT, TW, UY, VE"
Beetlejuice,movie,"Comedy, Fantasy",1988.0,7.5,393390.0,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, FR, GT, GY, HK, HN, HR, HU, ID, JM, LC, MC, MD, ME, MK, MX, MY, NI, NL, NO, PA, PE, PH, PL, PT, PY, RO, RS, SE, SG, SI, SK, SV, TC, TH, TT, TW, US, UY, VE"
Scream,movie,"Horror, Mystery",1996.0,7.4,408068.0,"AD, ES, PT, US"
Scary Movie,movie,Comedy,2000.0,6.3,297035.0,"AD, ES, PT"
Friday the 13th,movie,"Horror, Mystery, Thriller",1980.0,6.4,163849.0,"AD, AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, ES, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Sex and the City,movie,"Comedy, Drama, Romance",2008.0,5.7,129266.0,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, NO, PA, PE, PH, PT, PY, SE, SG, SV, TC, TH, TT, TW, US, UY, VE"
The Curious Case of Benjamin Button,movie,"Drama, Fantasy, Romance",2008.0,7.8,710887.0,"AD, BA, BE, BG, CZ, ES, FR, HR, HU, MC, MD, ME, MK, MY, NL, PH, PL, RO, RS, SG, SI, SK, TH"
Vicky Cristina Barcelona,movie,"Comedy, Drama, Romance",2008.0,7.1,272439.0,"AD, ES"
The Polar Express,movie,"Adventure, Animation, Comedy",2004.0,6.6,249684.0,"AD, ES, NL, PT, US"
The Witches of Eastwick,movie,"Comedy, Fantasy, Horror",1987.0,6.5,79916.0,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
The Orphanage,movie,"Drama, Horror, Mystery",2007.0,7.4,166121.0,"AD, ES"
Cloverfield,movie,"Action, Horror, Sci-Fi",2008.0,7.0,428878.0,"AD, ES, PT"
Ice Age: Dawn of the Dinosaurs,movie,"Adventure, Animation, Comedy",2009.0,6.9,271169.0,"AD, BA, BG, CZ, ES, HR, HU, MD, ME, MK, PL, PT, RO, RS, SI, SK"
Superman II,movie,"Action, Adventure, Sci-Fi",1980.0,6.8,116934.0,"AD, BE, DK, ES, FI, FR, HK, ID, MC, MY, NO, PH, PT, SE, SG, TH, TW, US"
Taken,movie,"Action, Crime, Thriller",2008.0,7.7,646890.0,"AD, CZ, ES, SK, US"
The Road Warrior,movie,"Action, Adventure, Sci-Fi",1981.0,7.6,204976.0,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, PA, PE, PH, PT, PY, SG, SV, TC, TH, TT, TW, UY, VE"
Final Destination 3,movie,"Horror, Thriller",2006.0,5.8,158724.0,"AD, AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, GT, GY, HK, HN, ID, JM, LC, MX, MY, NI, PA, PE, PH, PT, PY, SG, SV, TC, TH, TT, TW, UY, VE"
Mad Max Beyond Thunderdome,movie,"Action, Adventure, Sci-Fi",1985.0,6.2,156185.0,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, PA, PE, PH, PT, PY, SG, SV, TC, TH, TT, TW, US, UY, VE"
Final Destination 2,movie,"Horror, Thriller",2003.0,6.2,188223.0,"AD, AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, GT, GY, HK, HN, ID, JM, LC, MX, MY, NI, PA, PE, PH, PT, PY, SG, SV, TC, TH, TT, TW, UY, VE"
Jerry Maguire,movie,"Comedy, Drama, Romance",1996.0,7.3,293434.0,"AD, BA, BG, CZ, ES, FR, HR, HU, MC, MD, ME, MK, RO, RS, SI, SK"
Superman III,movie,"Action, Adventure, Comedy",1983.0,5.0,76364.0,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, NO, PA, PE, PH, PT, PY, SE, SG, SV, TC, TH, TT, TW, US, UY, VE"
Final Destination,movie,"Horror, Thriller",2000.0,6.7,290491.0,"AD, AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, GT, GY, HK, HN, ID, JM, LC, MX, MY, NI, PA, PE, PH, PT, PY, SG, SV, TC, TH, TT, TW, UY, VE"
The Exorcist,movie,Horror,1973.0,8.1,469244.0,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HN, JM, LC, MC, MX, NI, NL, PA, PE, PT, PY, SV, TC, TT, UY, VE"
Scooby-Doo,movie,"Adventure, Comedy, Family",2002.0,5.3,129904.0,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
Mad Max,movie,"Action, Adventure, Sci-Fi",1979.0,6.8,235288.0,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, PA, PE, PH, PT, PY, SG, SV, TC, TH, TT, TW, UY, VE"
Lady in the Water,movie,"Drama, Fantasy, Mystery",2006.0,5.5,105605.0,"AD, AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, GT, GY, HN, JM, LC, MX, NI, NL, PA, PE, PT, PY, SV, TC, TT, UY, VE"
Happy Feet,movie,"Adventure, Animation, Comedy",2006.0,6.4,204156.0,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, NL, NO, PA, PE, PH, PT, PY, SE, SG, SV, TC, TH, TT, TW, UY, VE"
